probe_id	log2FC_M	AveExpr	t	P.Value	adjP	B	chr	pos	strand	UCSC_RefGene_Name	Relation_to_Island	beta_tumor	beta_normal	delta_beta	sig
cg07895149	-4.3975516057201895	-4.173316076802581	-8.940968948435197	3.1823859761255095e-7	0.001742743067870549	6.566188298882248	NA	NA	NA	NA	NA	0.02589289226115492	0.3158961800465415	-0.2900032877853866	Hypomethylated
cg09411212	2.9536687029254636	2.8149054274775334	8.910103441663907	3.3197939806058247e-7	0.001742743067870549	6.5318366768811815	chr3	119379220	+	POPDC2	OpenSea	0.9271552744511994	0.6288474365903975	0.29830783786080184	Hypermethylated
cg20523861	4.6790816625010425	-0.08001289921064257	8.840481282812286	3.6533309295489994e-7	0.001742743067870549	6.453873723115188	chr13	70682324	-	KLHL1;KLHL1;ATXN8OS	S_Shore	0.7080130855485279	0.0940585008086145	0.6139545847399135	Hypermethylated
cg02919422	3.0537650400561707	0.3437397947190407	8.754211291291774	4.116553839306836e-7	0.001742743067870549	6.356344385448355	chr8	55370544	-	SOX17;SOX17	Island	0.7053542420510871	0.23172453411438573	0.47362970793670134	Hypermethylated
cg02164046	4.951900822360909	-0.03997163511925325	8.282133535003297	8.030797281866908e-7	0.0027198704234226846	5.804108976926513	chr3	187388148	+	SST;SST	Island	0.7159991368159248	0.09395801419253069	0.6220411226233941	Hypermethylated
cg24625388	-2.763072237063067	-1.4564332531707882	-7.7871814435156015	1.6648344200677244e-6	0.004157300728335886	5.190145433187797	chr10	21463858	+	NEBL	S_Shore	0.17443807005913667	0.5782648900079392	-0.40382681994880254	Hypomethylated
cg13434842	3.7146894341172274	0.6190972078825444	7.76609495274151	1.718501541180536e-6	0.004157300728335886	5.163166947700774	chr8	11567896	-	GATA4	S_Shore	0.7593821907209094	0.213645508151395	0.5457366825695145	Hypermethylated
cg24199834	4.03995838521916	-0.7893866784855209	7.474373382069114	2.680860734378157e-6	0.005227318404395926	4.782869119025652	chr4	147560126	-	POU4F2;POU4F2	Island	0.572342075655002	0.0794798709623132	0.49286220469268877	Hypermethylated
cg26924825	3.070516352879627	2.429534895864458	7.451282726884405	2.7781897743925438e-6	0.005227318404395926	4.752199350346948	chr16	67977865	-	SLC12A4;SLC12A4;SLC12A4;LCAT;SLC12A4;SLC12A4	OpenSea	0.9065120492911581	0.5499596973640271	0.3565523519271311	Hypermethylated
cg00548268	2.7328459144356825	0.6099582832484866	7.334099215907903	3.332896488463231e-6	0.005643926913563636	4.5952529279224015	chr7	98245830	-	NPTX2	Island	0.7265329834591593	0.295329045825669	0.4312039376334903	Hypermethylated
cg00019495	-3.242445706916323	-2.5017685347535155	-7.088180629663629	4.912103832024269e-6	0.007561960571954451	4.258763246061933	NA	NA	NA	NA	NA	0.0912029093024044	0.45575100162175924	-0.3645480923193548	Hypomethylated
cg13599477	-2.825218057283238	-3.5955821659242875	-6.864945112696898	7.033836932825032e-6	0.009925916218371592	3.944845295105476	chr10	5488485	-	NET1;NET1	Island	0.0462684270557702	0.250941424134831	-0.2046729970790608	Hypomethylated
cg04121771	-2.6914134972792194	-2.4675759117495164	-6.67462183327242	9.603513108241742e-6	0.012462033677911231	3.6707700311479803	chr3	149191624	-	TM4SF4	OpenSea	0.09773273565565241	0.400087892198236	-0.3023551565425836	Hypomethylated
cg15748507	3.069764204026675	0.11786120538560436	6.612617958708767	1.0640204347025283e-5	0.012462033677911231	3.5801925601814846	chr10	120354627	-	PRLHR	Island	0.666708302838214	0.209206230983491	0.457502071854723	Hypermethylated
cg15958424	-1.9452047776845318	-1.5378388947014594	-6.563821594863235	1.1538437397341208e-5	0.012462033677911231	3.508462224431617	chr3	132036067	-	ACPP;ACPP	OpenSea	0.18784459328290656	0.4670711827964725	-0.27922658951356594	Hypomethylated
cg06800962	-2.3163196920928004	-3.2828741397423364	-6.520028365982036	1.2412401909549423e-5	0.012462033677911231	3.443750861774446	chr3	149096029	-	TM4SF1	OpenSea	0.06075555706739428	0.2455985316939855	-0.18484297462659122	NS
cg19147390	-2.5572141543060782	-1.726474690137698	-6.465086611404408	1.36081313571459e-5	0.012462033677911231	3.3621163210699327	chr19	4911058	-	UHRF1;UHRF1	S_Shore	0.1569221821506257	0.5075219362361985	-0.35059975408557276	Hypomethylated
cg20279283	2.5061376283179277	0.4596025557326679	6.39221476057742	1.5383476418729643e-5	0.012462033677911231	3.2530680285718967	chr8	11566863	+	GATA4	Island	0.6955946168974373	0.29839393984044876	0.3972006770569885	Hypermethylated
cg06771126	-3.1777287892376562	-2.177856351627163	-6.379555039081613	1.5715884173964886e-5	0.012462033677911231	3.23403365686599	chr4	57547699	-	HOPX;HOPX;HOPX;HOPX;HOPX;HOPX	OpenSea	0.11443628942745306	0.5039147167588945	-0.3894784273314415	Hypomethylated
